sphere,code,method,equalMethods,samplingType,so_short_name,measurementInterval,measurementIntervalUnit,measurementsPerYear,minimumSamplePerSite,maximumSamplePerSite,purchasePrice,purchasePriceUnit,installationEffort,installationEffortUnit,upgradeInterval,upgradeIntervalUnit,maintenancePrice,maintenancePriceUnit,maintenanceEffort,maintenanceEffortUnit,samplingPrice,samplingPriceUnit,samplingEffort,samplingEffortUnit,samplingPersonnel,labAnalysisPrice,labAnalysisPriceUnit,processingRawDataEffort,processingRawDataEffortUnit,processingRawDataPersonnel,operationEffortCode,totalHumanLabor,so,soBundles,protocol,sensorType,methodsNotes,installationNotes,operationNotes
Atmosphere,SOATM_027,basic,FALSE,sensor,Meteorological data (SOATM_027),30,minute,17532,1,1,7000,euro,1,day,7,year,1000,euro,1,day/year,0,euro,0,day/year,,0,euro,1.5,day/year,,1,3.5,Meteorological data,"Meteorology bundle: relative air humidity, precipitation, air temperature, wind speed/wind direction, surface atmospheric pressure",ICP FORESTS;,in accordance with WMO,,,
Atmosphere,SOATM_028,basic,FALSE,sensor,Radiation (SOATM_028),30,minute,17532,1,1,1000,euro,0.1,day,7,year,100,euro,0.025,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,0,0.225,Radiation,Global radiation (incoming and reflected),WMO (ICP Forests if available),in accordance with WMO standards,,,
Atmosphere,SOATM_103,basic,TRUE,sample,Atmospheric deposition in precipitation (SOATM_103),2,week,26.08928571428572,3,5,250,euro,0.1,day,10,year,50,euro,0.1,day/year,0,euro,2,day/year,,100,euro,0.2,day/year,,0,2.4,Atmospheric deposition in precipitation,"in precipitation: Bulk NH4-N, NO3-N, NO2-N, Ntot, SO4, PO4-P, K, pH, anion, cation, DOC, alkalinity, electrical conductivity",ICP Forests,Bulk sampler + laboratory analyis,,,
Atmosphere,SOATM_108,basic,FALSE,retrieval,Dry deposition of N-components (SOATM_108),1,year,1,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,0,0.1,Dry deposition of N-components,Dry deposition of N-components,ICP Forests (Staelens et al),in forests: canopy exchange calculation based on ion budget from precipitation and throughfall,,,
Atmosphere,SOBIO_015,basic,TRUE,retrieval,Phenological traits (Remote Sensing) (SOBIO_015),2,week,26.08928571428572,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,1,day/year,,0,1,Vegetation phenology and Leaf Area Index – European scale,"phenological traits (including start, maximum, end of season), LAI",Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/;,"several optical remote sensing derived indexes (including NDVI, LAI etc.). Sentinel 2/MSI by Copernicus currently the most promising one",,,
Atmosphere,SOBIO_023,basic,TRUE,mixed,Forest - Aboveground biomass (SOBIO_023),3,year,0.3333333333333333,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.3333333333333333,day/year,,0,euro,0.5,day/year,,1,0.8333333333333333,Vegetation aboveground biomass - forest (site scale),annual aboveground vegetation biomass,"ICP Forest, EFI",forest inventory,,,
Atmosphere,SOBIO_024,basic,FALSE,mixed,Non-forest - Aboveground biomass (SOBIO_024),1,year,1,1,1,100,euro,0.1,day,20,year,0,euro,0,day/year,0,euro,0.5,day/year,,100,euro,0.1,day/year,,1,0.7,Vegetation aboveground biomass – non-forested sites,Aboveground biomass – non-forested sites,ICOS,"clipping, harvest, or electronic grassland platemeter (depends on habitat)",,,
Atmosphere,SOBIO_092,basic,TRUE,sample,Forests - Litterfall (SOBIO_092),1,month,12,1,1,500,euro,0.2,day,5,year,50,euro,0.1,day/year,0,euro,0.1,day/year,,50,euro,1,day/year,,1,1.4,Aboveground litterfall - forests,Aboveground litterfall - forests,"ICP Forests, ICOS",Sampling nets,,,
Atmosphere,SOATM_027,prime,FALSE,sensor,Meteorological data (SOATM_027),20,second,1577880,1,1,8000,euro,1.5,day,7,year,1500,euro,1,day/year,0,euro,0,day/year,,0,euro,0.5,day/year,,1,3,Meteorological data,"Meteorology bundle: relative air humidity, precipitation, air temperature, wind speed/wind direction, surface atmospheric pressure","ICOS; NEON, Tereno, ICP Forests","comparable or better than: PT100, PT1000; Belfort AEPG II 600M weighing gauge; Electrical capacitive hygrometers; Electronic barometers; 3D-Sonic Anemometer, HMP155 for air temp and humidity",,,
Atmosphere,SOATM_028,prime,FALSE,sensor,Radiation (SOATM_028),20,second,1577880,1,1,14000,euro,1,day,7,year,2000,euro,0.5,day/year,0,euro,0,day/year,,0,euro,0.5,day/year,,2,2,Radiation,"Radiation bundle: PPFD, Global radiation (incoming and reflected), diffuse shortwave radiation, long-wave radiation (incoming and reflected), UV-B","ICOS, ICP Forests, ACTRIS?",pyranometer (short-wave radiation); upward-looking radiometer (pyranometer or quantum sensor) with shading device (diffuse radiation); in accordance with WMO: https://library.wmo.int/doc_num.php?explnum_id=10616; quantum sensor,,,
Atmosphere,SOATM_098,prime,FALSE,sensor,Ground heat flux (SOATM_098),1,minute,525960,1,1,4000,euro,0.5,day,7,year,200,euro,0.5,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,2,Ground heat flux,Ground heat flux,ICOS,"Soil heat flux plates; soil heat flux plates (self calibrating), number of sensors depending on heterogeneity of ecosystem type",,,
Atmosphere,SOATM_103,prime,TRUE,sample,Atmospheric deposition in precipitation (SOATM_103),2,week,26.08928571428572,3,5,250,euro,0.1,day,10,year,50,euro,0.1,day/year,0,euro,2,day/year,,100,euro,0.2,day/year,,0,2.4,Atmospheric deposition in precipitation,"in precipitation: Bulk NH4-N, NO3-N, NO2-N, Ntot, SO4, PO4-P, K, pH, anion, cation, DOC, alkalinity, electrical conductivity",ICP Forests,Bulk sampler,,,
Atmosphere,SOATM_108,prime,FALSE,sample,Dry deposition of N-components (SOATM_108),2,week,26.08928571428572,2,3,2000,euro,0.1,day,5,year,100,euro,0.1,day/year,250,euro,1,day/year,,50,euro,2,day/year,,1,3.2,Dry deposition of N-components,Dry deposition of N-components,Radiello,passive sampler (gaseous compounds); string sampler (particulates),,,
Atmosphere,SOATM_176,prime,FALSE,sensor,Eddy covariance (SOATM_176),0.1,second,315576000,1,1,60000,euro,2,day,7,year,2000,euro,20,day/year,0,euro,0,day/year,,0,euro,10,day/year,,2,32,"CO2 flux and concentration, Latent heat flux, Sensible heat flux - Eddy Covariance","CO2 flux and concentration, Latent heat flux, Sensible heat flux",ICOS,"eddy covariance (3D sonic anemometer and Gas analyzer, data acquisition etc)",,,
Atmosphere,SOBIO_015,prime,TRUE,retrieval,Phenological traits (Remote Sensing) (SOBIO_015),2,week,26.08928571428572,1,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,1,0.1,Vegetation phenology and Leaf Area Index – European scale,"phenological traits (including start, maximum, end of season), LAI",Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; alternatively PhenoCam Network,"several optical remote sensing derived indexes (including NDVI, LAI etc.). Sentinel 2/MSI by Copernicus currently the most promising one",,,
