sphere,code,method,equalMethods,samplingType,so_short_name,so,soBundles,protocol,measurementInterval,measurementIntervalUnit,measurementsPerYear,sensorType,minimumSamplePerSite,maximumSamplePerSite,purchasePrice,purchasePriceUnit,installationEffort,installationEffortUnit,upgradeInterval,upgradeIntervalUnit,maintenancePrice,maintenancePriceUnit,maintenanceEffort,maintenanceEffortUnit,samplingPrice,samplingPriceUnit,samplingEffort,samplingEffortUnit,samplingPersonnel,labAnalysisPrice,labAnalysisPriceUnit,processingRawDataEffort,processingRawDataEffortUnit,processingRawDataPersonnel,operationEffortCode,totalHumanLabor,methodsNotes,installationNotes,operationNotes
Atmosphere,SOATM_027,basic,FALSE,sensor,meteorological data (SOATM_027),Meteorological data,"Meteorology bundle: relative air humidity, precipitation, air temperature, wind speed/wind direction, surface atmospheric pressure",ICP FORESTS;,30,minute,17532,in accordance with WMO,1,1,7000,euro,1,day,7,year,1000,euro,1,day/year,0,euro,0,day/year,,0,euro,1.5,day/year,,1,3.5,,,
Atmosphere,SOATM_027,prime,FALSE,sensor,meteorological data (SOATM_027),Meteorological data,"Meteorology bundle: relative air humidity, precipitation, air temperature, wind speed/wind direction, surface atmospheric pressure","ICOS; NEON, Tereno, ICP Forests",20,second,1577880,"comparable or better than: PT100, PT1000; Belfort AEPG II 600M weighing gauge; Electrical capacitive hygrometers; Electronic barometers; 3D-Sonic Anemometer, HMP155 for air temp and humidity",1,1,8000,euro,1.5,day,7,year,1500,euro,1,day/year,0,euro,0,day/year,,0,euro,0.5,day/year,,1,3,,,
Atmosphere,SOATM_028,basic,FALSE,sensor,radiation (SOATM_028),Radiation,Global radiation (incoming and reflected),WMO (ICP Forests if available),30,minute,17532,in accordance with WMO standards,1,1,1000,euro,0.1,day,7,year,100,euro,0.025,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,0,0.225,,,
Atmosphere,SOATM_028,prime,FALSE,sensor,radiation (SOATM_028),Radiation,"Radiation bundle: PPFD, Global radiation (incoming and reflected), diffuse shortwave radiation, long-wave radiation (incoming and reflected), UV-B","ICOS, ICP Forests, ACTRIS?",20,second,1577880,pyranometer (short-wave radiation); upward-looking radiometer (pyranometer or quantum sensor) with shading device (diffuse radiation); in accordance with WMO: https://library.wmo.int/doc_num.php?explnum_id=10616; quantum sensor,1,1,14000,euro,1,day,7,year,2000,euro,0.5,day/year,0,euro,0,day/year,,0,euro,0.5,day/year,,2,2,,,
Atmosphere,SOATM_098,prime,FALSE,sensor,ground heat flux (SOATM_098),Ground heat flux,Ground heat flux,ICOS,1,minute,525960,"Soil heat flux plates; soil heat flux plates (self calibrating), number of sensors depending on heterogeneity of ecosystem type",1,1,4000,euro,0.5,day,7,year,200,euro,0.5,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,2,,,
Atmosphere,SOATM_103,basic,TRUE,sample,atmospheric deposition in precipitation (SOATM_103),Atmospheric deposition in precipitation,"in precipitation: Bulk NH4-N, NO3-N, NO2-N, Ntot, SO4, PO4-P, K, pH, anion, cation, DOC, alkalinity, electrical conductivity",ICP Forests,2,week,26.08928571428572,Bulk sampler + laboratory analyis,3,5,250,euro,0.1,day,10,year,50,euro,0.1,day/year,0,euro,2,day/year,,100,euro,0.2,day/year,,0,2.4,,,
Atmosphere,SOATM_103,prime,TRUE,sample,atmospheric deposition in precipitation (SOATM_103),Atmospheric deposition in precipitation,"in precipitation: Bulk NH4-N, NO3-N, NO2-N, Ntot, SO4, PO4-P, K, pH, anion, cation, DOC, alkalinity, electrical conductivity",ICP Forests,2,week,26.08928571428572,Bulk sampler,3,5,250,euro,0.1,day,10,year,50,euro,0.1,day/year,0,euro,2,day/year,,100,euro,0.2,day/year,,0,2.4,,,
Atmosphere,SOATM_108,basic,FALSE,retrieval,dry deposition of N-components (SOATM_108),Dry deposition of N-components,Dry deposition of N-components,ICP Forests (Staelens et al),1,year,1,in forests: canopy exchange calculation based on ion budget from precipitation and throughfall,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,0,0.1,,,
Atmosphere,SOATM_108,prime,FALSE,sample,dry deposition of N-components (SOATM_108),Dry deposition of N-components,Dry deposition of N-components,Radiello,2,week,26.08928571428572,passive sampler (gaseous compounds); string sampler (particulates),2,3,2000,euro,0.1,day,5,year,100,euro,0.1,day/year,250,euro,1,day/year,,50,euro,2,day/year,,1,3.2,,,
Atmosphere,SOATM_176,prime,FALSE,sensor,CO2 flux and concentration (SOATM_176),"CO2 flux and concentration, Latent heat flux, Sensible heat flux - Eddy Covariance","CO2 flux and concentration, Latent heat flux, Sensible heat flux",ICOS,0.1,second,315576000,"eddy covariance (3D sonic anemometer and Gas analyzer, data acquisition etc)",1,1,60000,euro,2,day,7,year,2000,euro,20,day/year,0,euro,0,day/year,,0,euro,10,day/year,,2,32,,,
Atmosphere,SOBIO_015,basic,TRUE,retrieval,vegetation phenology and LAI (SOBIO_015),Vegetation phenology and Leaf Area Index – European scale,"phenological traits (including start, maximum, end of season), LAI",Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/;,2,week,26.08928571428572,"several optical remote sensing derived indexes (including NDVI, LAI etc.). Sentinel 2/MSI by Copernicus currently the most promising one",1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,1,day/year,,0,1,,,
Atmosphere,SOBIO_015,prime,TRUE,retrieval,vegetation phenology and LAI (SOBIO_015),Vegetation phenology and Leaf Area Index – European scale,"phenological traits (including start, maximum, end of season), LAI",Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; alternatively PhenoCam Network,2,week,26.08928571428572,"several optical remote sensing derived indexes (including NDVI, LAI etc.). Sentinel 2/MSI by Copernicus currently the most promising one",1,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,1,0.1,,,
Atmosphere,SOBIO_016,prime,FALSE,sensor,vegetation phenology (SOBIO_016),Vegetation phenology – site scale,"phenological traits (including start, maximum, end of season)","PhenoCam Network; also ICOS (in progress), should be more than one image per day to consider unfair weather conditions",6,hour,1461,Phenocam,1,,1200,euro,0.2,day,5,year,100,euro,0.1,day/year,0,euro,0,day/year,,0,euro,0.5,day/year,,1,0.8,,,
Atmosphere,SOBIO_023,basic,TRUE,mixed,vegetation aboveground biomass (SOBIO_023),Vegetation aboveground biomass - forest (site scale),annual aboveground vegetation biomass,"ICP Forest, EFI",3,year,0.3333333333333333,forest inventory,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0.3333333333333333,day/year,,0,euro,0.5,day/year,,1,0.8333333333333333,,,
Atmosphere,SOBIO_023,prime,TRUE,mixed,vegetation aboveground biomass (SOBIO_023),Vegetation aboveground biomass - forest (site scale),annual aboveground vegetation biomass,"ICP Forest, EFI",3,year,0.3333333333333333,forest inventory,1,1,100,euro,1,day,20,year,100,euro,0.5,day/year,100,euro,0.5,day/year,,0,euro,0.5,day/year,,1,2.5,,,"operationEffortCode: 1,2"
Atmosphere,SOBIO_024,basic,FALSE,mixed,vegetation aboveground biomass (SOBIO_024),Vegetation aboveground biomass – non-forested sites,Aboveground biomass – non-forested sites,ICOS,1,year,1,"clipping, harvest, or electronic grassland platemeter (depends on habitat)",1,1,100,euro,0.1,day,20,year,0,euro,0,day/year,0,euro,0.5,day/year,,100,euro,0.1,day/year,,1,0.7,,,
